Band_Number,Band_nanometers,Noise_flag
band_1,0.3827,0
band_2,0.3877,0
band_3,0.3927,0
band_4,0.3977,0
band_5,0.4027,0
band_6,0.4077,0
band_7,0.4127,0
band_8,0.4177,0
band_9,0.4227,0
band_10,0.4277,0
band_11,0.4328,0
band_12,0.4378,0
band_13,0.4428,0
band_14,0.4478,0
band_15,0.4528,0
band_16,0.4578,0
band_17,0.4628,0
band_18,0.4678,0
band_19,0.4728,0
band_20,0.4778,0
band_21,0.4829,0
band_22,0.4879,0
band_23,0.4929,0
band_24,0.4979,0
band_25,0.5029,0
band_26,0.5079,0
band_27,0.5129,0
band_28,0.5179,0
band_29,0.5229,0
band_30,0.5279,0
band_31,0.5329,0
band_32,0.5380,0
band_33,0.5430,0
band_34,0.5480,0
band_35,0.5530,0
band_36,0.5580,0
band_37,0.5630,0
band_38,0.5680,0
band_39,0.5730,0
band_40,0.5780,0
band_41,0.5831,0
band_42,0.5881,0
band_43,0.5931,0
band_44,0.5981,0
band_45,0.6031,0
band_46,0.6081,0
band_47,0.6131,0
band_48,0.6181,0
band_49,0.6231,0
band_50,0.6281,0
band_51,0.6331,0
band_52,0.6381,0
band_53,0.6432,0
band_54,0.6482,0
band_55,0.6532,0
band_56,0.6582,0
band_57,0.6632,0
band_58,0.6682,0
band_59,0.6732,0
band_60,0.6782,0
band_61,0.6832,0
band_62,0.6883,0
band_63,0.6933,0
band_64,0.6983,0
band_65,0.7033,0
band_66,0.7083,0
band_67,0.7133,0
band_68,0.7183,0
band_69,0.7233,0
band_70,0.7283,0
band_71,0.7333,0
band_72,0.7383,0
band_73,0.7434,0
band_74,0.7484,0
band_75,0.7534,0
band_76,0.7584,0
band_77,0.7634,0
band_78,0.7684,0
band_79,0.7734,0
band_80,0.7784,0
band_81,0.7834,0
band_82,0.7884,0
band_83,0.7934,0
band_84,0.7985,0
band_85,0.8035,0
band_86,0.8085,0
band_87,0.8135,0
band_88,0.8185,0
band_89,0.8235,0
band_90,0.8285,0
band_91,0.8335,0
band_92,0.8385,0
band_93,0.8435,0
band_94,0.8486,0
band_95,0.8536,0
band_96,0.8586,0
band_97,0.8636,0
band_98,0.8686,0
band_99,0.8736,0
band_100,0.8786,0
band_101,0.8836,0
band_102,0.8886,0
band_103,0.8936,0
band_104,0.8986,0
band_105,0.9037,0
band_106,0.9087,0
band_107,0.9137,0
band_108,0.9187,0
band_109,0.9237,0
band_110,0.9287,0
band_111,0.9337,0
band_112,0.9387,0
band_113,0.9437,0
band_114,0.9487,0
band_115,0.9538,0
band_116,0.9588,0
band_117,0.9638,0
band_118,0.9688,0
band_119,0.9738,0
band_120,0.9788,0
band_121,0.9838,0
band_122,0.9888,0
band_123,0.9938,0
band_124,0.9988,0
band_125,1.0038,0
band_126,1.0089,0
band_127,1.0139,0
band_128,1.0189,0
band_129,1.0239,0
band_130,1.0289,0
band_131,1.0339,0
band_132,1.0389,0
band_133,1.0439,0
band_134,1.0489,0
band_135,1.0539,0
band_136,1.0589,0
band_137,1.0640,0
band_138,1.0690,0
band_139,1.0740,0
band_140,1.0790,0
band_141,1.0840,0
band_142,1.0890,0
band_143,1.0940,0
band_144,1.0990,0
band_145,1.1040,0
band_146,1.1091,0
band_147,1.1141,0
band_148,1.1191,0
band_149,1.1241,0
band_150,1.1291,0
band_151,1.1341,0
band_152,1.1391,0
band_153,1.1441,0
band_154,1.1491,0
band_155,1.1541,0
band_156,1.1591,0
band_157,1.1642,0
band_158,1.1692,0
band_159,1.1742,0
band_160,1.1792,0
band_161,1.1842,0
band_162,1.1892,0
band_163,1.1942,0
band_164,1.1992,0
band_165,1.2042,0
band_166,1.2092,0
band_167,1.2142,0
band_168,1.2193,0
band_169,1.2243,0
band_170,1.2293,0
band_171,1.2343,0
band_172,1.2393,0
band_173,1.2443,0
band_174,1.2493,0
band_175,1.2543,0
band_176,1.2593,0
band_177,1.2643,0
band_178,1.2694,0
band_179,1.2744,0
band_180,1.2794,0
band_181,1.2844,0
band_182,1.2894,0
band_183,1.2944,0
band_184,1.2994,0
band_185,1.3044,0
band_186,1.3094,0
band_187,1.3144,0
band_188,1.3195,0
band_189,1.3245,0
band_190,1.3295,0
band_191,1.3345,0
band_192,1.3395,0
band_193,1.3445,1
band_194,1.3495,1
band_195,1.3545,1
band_196,1.3595,1
band_197,1.3645,1
band_198,1.3695,1
band_199,1.3745,1
band_200,1.3796,1
band_201,1.3846,1
band_202,1.3896,1
band_203,1.3946,1
band_204,1.3996,1
band_205,1.4046,1
band_206,1.4096,1
band_207,1.4146,1
band_208,1.4196,1
band_209,1.4246,1
band_210,1.4296,1
band_211,1.4347,0
band_212,1.4397,0
band_213,1.4447,0
band_214,1.4497,0
band_215,1.4547,0
band_216,1.4597,0
band_217,1.4647,0
band_218,1.4697,0
band_219,1.4747,0
band_220,1.4798,0
band_221,1.4848,0
band_222,1.4898,0
band_223,1.4948,0
band_224,1.4998,0
band_225,1.5048,0
band_226,1.5098,0
band_227,1.5148,0
band_228,1.5198,0
band_229,1.5248,0
band_230,1.5298,0
band_231,1.5349,0
band_232,1.5399,0
band_233,1.5449,0
band_234,1.5499,0
band_235,1.5549,0
band_236,1.5599,0
band_237,1.5649,0
band_238,1.5699,0
band_239,1.5749,0
band_240,1.5799,0
band_241,1.5849,0
band_242,1.5900,0
band_243,1.5950,0
band_244,1.6000,0
band_245,1.6050,0
band_246,1.6100,0
band_247,1.6150,0
band_248,1.6200,0
band_249,1.6250,0
band_250,1.6300,0
band_251,1.6350,0
band_252,1.6401,0
band_253,1.6451,0
band_254,1.6501,0
band_255,1.6551,0
band_256,1.6601,0
band_257,1.6651,0
band_258,1.6701,0
band_259,1.6751,0
band_260,1.6801,0
band_261,1.6851,0
band_262,1.6902,0
band_263,1.6952,0
band_264,1.7002,0
band_265,1.7052,0
band_266,1.7102,0
band_267,1.7152,0
band_268,1.7202,0
band_269,1.7252,0
band_270,1.7302,0
band_271,1.7352,0
band_272,1.7402,0
band_273,1.7452,0
band_274,1.7503,0
band_275,1.7553,0
band_276,1.7603,0
band_277,1.7653,0
band_278,1.7703,0
band_279,1.7753,0
band_280,1.7803,0
band_281,1.7853,0
band_282,1.7903,0
band_283,1.7953,0
band_284,1.8004,1
band_285,1.8054,1
band_286,1.8104,1
band_287,1.8154,1
band_288,1.8204,1
band_289,1.8254,1
band_290,1.8304,1
band_291,1.8354,1
band_292,1.8404,1
band_293,1.8454,1
band_294,1.8505,1
band_295,1.8555,1
band_296,1.8605,1
band_297,1.8655,1
band_298,1.8705,1
band_299,1.8755,1
band_300,1.8805,1
band_301,1.8855,1
band_302,1.8905,1
band_303,1.8955,1
band_304,1.9006,1
band_305,1.9056,1
band_306,1.9106,1
band_307,1.9156,1
band_308,1.9206,1
band_309,1.9256,1
band_310,1.9306,1
band_311,1.9356,1
band_312,1.9406,1
band_313,1.9456,1
band_314,1.9506,1
band_315,1.9556,1
band_316,1.9607,0
band_317,1.9657,0
band_318,1.9707,0
band_319,1.9757,0
band_320,1.9807,0
band_321,1.9857,0
band_322,1.9907,0
band_323,1.9957,0
band_324,2.0007,0
band_325,2.0057,0
band_326,2.0108,0
band_327,2.0158,0
band_328,2.0208,0
band_329,2.0258,0
band_330,2.0308,0
band_331,2.0358,0
band_332,2.0408,0
band_333,2.0458,0
band_334,2.0508,0
band_335,2.0558,0
band_336,2.0608,0
band_337,2.0659,0
band_338,2.0709,0
band_339,2.0759,0
band_340,2.0809,0
band_341,2.0859,0
band_342,2.0909,0
band_343,2.0959,0
band_344,2.1009,0
band_345,2.1059,0
band_346,2.1109,0
band_347,2.1160,0
band_348,2.1210,0
band_349,2.1260,0
band_350,2.1310,0
band_351,2.1360,0
band_352,2.1410,0
band_353,2.1460,0
band_354,2.1510,0
band_355,2.1560,0
band_356,2.1610,0
band_357,2.1660,0
band_358,2.1711,0
band_359,2.1761,0
band_360,2.1811,0
band_361,2.1861,0
band_362,2.1911,0
band_363,2.1961,0
band_364,2.2011,0
band_365,2.2061,0
band_366,2.2111,0
band_367,2.2162,0
band_368,2.2212,0
band_369,2.2262,0
band_370,2.2312,0
band_371,2.2362,0
band_372,2.2412,0
band_373,2.2462,0
band_374,2.2512,0
band_375,2.2562,0
band_376,2.2612,0
band_377,2.2662,0
band_378,2.2713,0
band_379,2.2763,0
band_380,2.2813,0
band_381,2.2863,0
band_382,2.2913,0
band_383,2.2963,0
band_384,2.3013,0
band_385,2.3063,0
band_386,2.3113,0
band_387,2.3163,0
band_388,2.3214,0
band_389,2.3264,0
band_390,2.3314,0
band_391,2.3364,0
band_392,2.3414,0
band_393,2.3464,0
band_394,2.3514,0
band_395,2.3564,0
band_396,2.3614,0
band_397,2.3664,0
band_398,2.3714,0
band_399,2.3765,0
band_400,2.3815,0
band_401,2.3865,0
band_402,2.3915,0
band_403,2.3965,0
band_404,2.4015,0
band_405,2.4065,0
band_406,2.4115,0
band_407,2.4165,0
band_408,2.4215,0
band_409,2.4265,0
band_410,2.4316,0
band_411,2.4366,0
band_412,2.4416,0
band_413,2.4466,0
band_414,2.4516,0
band_415,2.4566,0
band_416,2.4616,0
band_417,2.4666,0
band_418,2.4716,0
band_419,2.4766,0
band_420,2.4817,1
band_421,2.4867,1
band_422,2.4917,1
band_423,2.4967,1
band_424,2.5017,1
band_425,2.5067,1
band_426,2.5117,1
